Gelbe LED
Differenzspannung: 1.8382 V, Strom: 0.5344 A
Differenzspannung: 1.8293 V, Strom: 0.5262 A
Differenzspannung: 1.8293 V, Strom: 0.5262 A
Differenzspannung: 1.8398 V, Strom: 0.6166 A
Differenzspannung: 1.8406 V, Strom: 0.6166 A
Differenzspannung: 1.8479 V, Strom: 0.4933 A
Differenzspannung: 1.8640 V, Strom: 0.8879 A
Differenzspannung: 1.8672 V, Strom: 0.8386 A
Differenzspannung: 1.8656 V, Strom: 0.8797 A
Differenzspannung: 1.8737 V, Strom: 1.0688 A
Differenzspannung: 1.8737 V, Strom: 1.0605 A
Differenzspannung: 1.8761 V, Strom: 1.0359 A
Differenzspannung: 1.8728 V, Strom: 1.0523 A
Differenzspannung: 1.8737 V, Strom: 1.0359 A
Differenzspannung: 1.8745 V, Strom: 1.0523 A
Differenzspannung: 1.8882 V, Strom: 1.2743 A
Differenzspannung: 1.1169 V, Strom: 0.1480 A
Differenzspannung: 1.0049 V, Strom: 0.1562 A
Differenzspannung: 1.9567 V, Strom: 3.6918 A
Differenzspannung: 1.9470 V, Strom: 3.7576 A
Differenzspannung: 1.9575 V, Strom: 3.7412 A
Differenzspannung: 2.0783 V, Strom: 11.4958 A
Differenzspannung: 2.0453 V, Strom: 11.4793 A
Differenzspannung: 2.0477 V, Strom: 11.6027 A
Differenzspannung: 2.0002 V, Strom: 6.2574 A
Differenzspannung: 2.0138 V, Strom: 6.4058 A
Differenzspannung: 1.9921 V, Strom: 6.5867 A
Differenzspannung: 1.9382 V, Strom: 3.5274 A
Differenzspannung: 1.9510 V, Strom: 3.4699 A
Differenzspannung: 1.9519 V, Strom: 3.4863 A
Differenzspannung: 2.0501 V, Strom: 12.2521 A
Differenzspannung: 2.0477 V, Strom: 12.1781 A
Differenzspannung: 2.0671 V, Strom: 11.9397 A
