Grne LED
Differenzspannung: 1.8511 V, Strom: 0.3288 A
Differenzspannung: 1.8479 V, Strom: 0.3206 A
Differenzspannung: 1.8487 V, Strom: 0.3124 A
Differenzspannung: 1.9051 V, Strom: 0.7892 A
Differenzspannung: 1.9083 V, Strom: 0.7728 A
Differenzspannung: 1.9067 V, Strom: 0.7646 A
Differenzspannung: 1.9083 V, Strom: 0.8386 A
Differenzspannung: 1.9083 V, Strom: 0.8632 A
Differenzspannung: 1.9067 V, Strom: 0.8550 A
Differenzspannung: 1.9204 V, Strom: 1.0112 A
Differenzspannung: 1.9236 V, Strom: 1.0194 A
Differenzspannung: 1.9196 V, Strom: 1.0359 A
Differenzspannung: 1.9301 V, Strom: 1.4305 A
Differenzspannung: 1.9253 V, Strom: 1.4469 A
Differenzspannung: 0.3159 V, Strom: 0.1809 A
Differenzspannung: 1.9430 V, Strom: 2.0306 A
Differenzspannung: 1.9494 V, Strom: 1.9895 A
Differenzspannung: 1.9486 V, Strom: 1.9731 A
Differenzspannung: 1.9768 V, Strom: 3.8151 A
Differenzspannung: 1.9696 V, Strom: 3.8727 A
Differenzspannung: 1.9680 V, Strom: 3.9713 A
Differenzspannung: 2.0058 V, Strom: 6.9156 A
Differenzspannung: 2.0413 V, Strom: 6.8005 A
Differenzspannung: 2.0203 V, Strom: 6.9896 A
Differenzspannung: 2.0147 V, Strom: 10.1634 A
Differenzspannung: 2.0348 V, Strom: 10.5257 A
Differenzspannung: 2.0848 V, Strom: 10.5750 A
Differenzspannung: 2.0509 V, Strom: 11.9397 A
Differenzspannung: 1.9809 V, Strom: 12.6221 A
Differenzspannung: 2.0526 V, Strom: 12.0137 A
