Rote LED 1
Differenzspannung: 1.6351 V, Strom: 0.1726 A
Differenzspannung: 1.6294 V, Strom: 0.1726 A
Differenzspannung: 1.6294 V, Strom: 0.1644 A
Differenzspannung: 1.6794 V, Strom: 0.2138 A
Differenzspannung: 1.6778 V, Strom: 0.2302 A
Differenzspannung: 1.6818 V, Strom: 0.2302 A
Differenzspannung: 1.7181 V, Strom: 0.2960 A
Differenzspannung: 1.7229 V, Strom: 0.2877 A
Differenzspannung: 1.7205 V, Strom: 0.3453 A
Differenzspannung: 1.7237 V, Strom: 0.3371 A
Differenzspannung: 1.7278 V, Strom: 0.3124 A
Differenzspannung: 1.7270 V, Strom: 0.3124 A
Differenzspannung: 1.7391 V, Strom: 0.3535 A
Differenzspannung: 1.7399 V, Strom: 0.3535 A
Differenzspannung: 1.7382 V, Strom: 0.3617 A
Differenzspannung: 1.7455 V, Strom: 0.3946 A
Differenzspannung: 1.7487 V, Strom: 0.3782 A
Differenzspannung: 1.7447 V, Strom: 0.3864 A
Differenzspannung: 1.7527 V, Strom: 0.4111 A
Differenzspannung: 1.7560 V, Strom: 0.4028 A
Differenzspannung: 1.7536 V, Strom: 0.4111 A
Differenzspannung: 1.7560 V, Strom: 0.4604 A
Differenzspannung: 1.7560 V, Strom: 0.4604 A
Differenzspannung: 1.7584 V, Strom: 0.4357 A
Differenzspannung: 1.7640 V, Strom: 0.4933 A
Differenzspannung: 1.7673 V, Strom: 0.4851 A
Differenzspannung: 1.7600 V, Strom: 0.4933 A
Differenzspannung: 1.7761 V, Strom: 0.5590 A
Differenzspannung: 1.7721 V, Strom: 0.5508 A
Differenzspannung: 1.7745 V, Strom: 0.5426 A
Differenzspannung: 1.7923 V, Strom: 0.7070 A
Differenzspannung: 1.7907 V, Strom: 0.7152 A
Differenzspannung: 1.7955 V, Strom: 0.7070 A
Differenzspannung: 1.8036 V, Strom: 0.8797 A
Differenzspannung: 1.8100 V, Strom: 0.7810 A
Differenzspannung: 1.7874 V, Strom: 0.8797 A
Differenzspannung: 1.8156 V, Strom: 1.1921 A
Differenzspannung: 1.8277 V, Strom: 1.1756 A
Differenzspannung: 1.8197 V, Strom: 1.1839 A
Differenzspannung: 1.8293 V, Strom: 1.4223 A
Differenzspannung: 1.8334 V, Strom: 1.4058 A
Differenzspannung: 1.8293 V, Strom: 1.4223 A
Differenzspannung: 1.8672 V, Strom: 2.7875 A
Differenzspannung: 1.8688 V, Strom: 2.7711 A
Differenzspannung: 1.8535 V, Strom: 2.9684 A
Differenzspannung: 1.9067 V, Strom: 4.1604 A
Differenzspannung: 1.9116 V, Strom: 4.1851 A
Differenzspannung: 1.9043 V, Strom: 4.2596 A
Differenzspannung: 1.9132 V, Strom: 4.2015 A
Differenzspannung: 1.9027 V, Strom: 4.3583 A
Differenzspannung: 1.9228 V, Strom: 4.2596 A
Differenzspannung: 1.9994 V, Strom: 12.5892 A
Differenzspannung: 2.0292 V, Strom: 12.3508 A
Differenzspannung: 2.0091 V, Strom: 12.4577 A
Differenzspannung: 2.0042 V, Strom: 11.8740 A
Differenzspannung: 2.0050 V, Strom: 11.8575 A
Differenzspannung: 1.9655 V, Strom: 12.2439 A
Differenzspannung: 1.9801 V, Strom: 9.2756 A
Differenzspannung: 1.9664 V, Strom: 9.5140 A
Differenzspannung: 1.9720 V, Strom: 9.4318 A
