Weie LED 1
Differenzspannung: 2.4950 V, Strom: 0.1562 A
Differenzspannung: 2.4821 V, Strom: 0.1480 A
Differenzspannung: 2.4805 V, Strom: 0.1644 A
Differenzspannung: 2.4869 V, Strom: 0.1480 A
Differenzspannung: 2.4869 V, Strom: 0.1644 A
Differenzspannung: 2.4926 V, Strom: 0.1151 A
Differenzspannung: 2.5014 V, Strom: 0.1726 A
Differenzspannung: 2.5038 V, Strom: 0.1726 A
Differenzspannung: 2.5014 V, Strom: 0.2055 A
Differenzspannung: 2.5248 V, Strom: 0.1726 A
Differenzspannung: 2.5401 V, Strom: 0.1809 A
Differenzspannung: 2.5337 V, Strom: 0.1809 A
Differenzspannung: 2.5707 V, Strom: 0.2138 A
Differenzspannung: 2.5739 V, Strom: 0.2220 A
Differenzspannung: 2.5739 V, Strom: 0.2138 A
Differenzspannung: 2.5997 V, Strom: 0.2713 A
Differenzspannung: 2.6054 V, Strom: 0.2384 A
Differenzspannung: 2.5965 V, Strom: 0.2877 A
Differenzspannung: 2.6336 V, Strom: 0.5179 A
Differenzspannung: 2.6344 V, Strom: 0.5015 A
Differenzspannung: 2.6344 V, Strom: 0.5262 A
Differenzspannung: 2.6481 V, Strom: 0.6330 A
Differenzspannung: 2.6513 V, Strom: 0.6577 A
Differenzspannung: 2.6489 V, Strom: 0.6495 A
Differenzspannung: 2.6674 V, Strom: 0.7563 A
Differenzspannung: 2.6618 V, Strom: 0.8303 A
Differenzspannung: 2.6626 V, Strom: 0.7975 A
Differenzspannung: 2.6900 V, Strom: 1.2003 A
Differenzspannung: 2.6876 V, Strom: 1.2332 A
Differenzspannung: 2.6908 V, Strom: 1.2003 A
Differenzspannung: 2.7158 V, Strom: 2.0882 A
Differenzspannung: 2.6811 V, Strom: 2.6066 A
Differenzspannung: 2.7182 V, Strom: 2.1051 A
Differenzspannung: 2.8358 V, Strom: 4.7118 A
Differenzspannung: 2.8004 V, Strom: 4.7693 A
Differenzspannung: 2.8415 V, Strom: 4.5885 A
