Glebe LED V2 NT1
Differenzspannung: 1.6133 V, Strom: 4.5319 A
Differenzspannung: 1.6028 V, Strom: 3.2731 A
Differenzspannung: 1.6149 V, Strom: 4.7837 A
Differenzspannung: 1.6173 V, Strom: 4.5319 A
Differenzspannung: 1.6278 V, Strom: 4.5319 A
Differenzspannung: 1.6310 V, Strom: 4.5319 A
Differenzspannung: 1.6448 V, Strom: 4.7837 A
Differenzspannung: 1.6891 V, Strom: 4.7837 A
Differenzspannung: 1.6923 V, Strom: 4.5319 A
Differenzspannung: 1.7552 V, Strom: 4.5319 A
Differenzspannung: 1.7527 V, Strom: 4.5319 A
Differenzspannung: 1.8455 V, Strom: 8.3085 A
Differenzspannung: 1.8640 V, Strom: 5.0355 A
Differenzspannung: 1.8132 V, Strom: 5.0355 A
Differenzspannung: 1.8140 V, Strom: 4.7837 A
Differenzspannung: 1.8591 V, Strom: 5.5390 A
Differenzspannung: 1.8704 V, Strom: 5.2873 A
Differenzspannung: 2.0058 V, Strom: 11.0780 A
Differenzspannung: 2.0106 V, Strom: 11.8334 A
Differenzspannung: 2.0300 V, Strom: 15.3582 A
Differenzspannung: 2.0276 V, Strom: 15.1064 A
Differenzspannung: 2.1146 V, Strom: 46.3264 A
Differenzspannung: 2.1106 V, Strom: 47.3335 A
Differenzspannung: 2.1073 V, Strom: 101.4806 A
Differenzspannung: 2.1017 V, Strom: 102.2359 A
Differenzspannung: 2.0977 V, Strom: 89.3955 A
Differenzspannung: 2.0791 V, Strom: 109.7891 A
Differenzspannung: 2.0808 V, Strom: 119.1048 A
Differenzspannung: 2.0791 V, Strom: 120.1119 A
