Gruene LED V2
Differenzspannung: 1.7423 V, Strom: 3.5248 A
Differenzspannung: 1.7310 V, Strom: 4.2802 A
Differenzspannung: 1.7399 V, Strom: 4.7837 A
Differenzspannung: 1.7487 V, Strom: 4.5319 A
Differenzspannung: 1.7536 V, Strom: 4.2802 A
Differenzspannung: 1.7576 V, Strom: 3.2731 A
Differenzspannung: 1.7721 V, Strom: 4.2802 A
Differenzspannung: 1.7544 V, Strom: 4.2802 A
Differenzspannung: 1.7527 V, Strom: 4.2802 A
Differenzspannung: 1.7721 V, Strom: 4.5319 A
Differenzspannung: 1.8148 V, Strom: 4.5319 A
Differenzspannung: 1.8148 V, Strom: 4.5319 A
Differenzspannung: 1.8680 V, Strom: 4.2802 A
Differenzspannung: 1.8664 V, Strom: 4.7837 A
Differenzspannung: 1.9010 V, Strom: 5.0355 A
Differenzspannung: 1.9010 V, Strom: 4.7837 A
Differenzspannung: 1.9494 V, Strom: 6.2943 A
Differenzspannung: 1.9502 V, Strom: 6.2943 A
Differenzspannung: 2.0348 V, Strom: 15.6100 A
Differenzspannung: 2.0211 V, Strom: 12.8405 A
Differenzspannung: 2.1009 V, Strom: 35.7519 A
Differenzspannung: 2.1041 V, Strom: 35.5001 A
Differenzspannung: 2.1517 V, Strom: 113.5658 A
Differenzspannung: 2.1453 V, Strom: 110.7962 A
Differenzspannung: 2.1476 V, Strom: 129.6950 A
Differenzspannung: 2.1420 V, Strom: 129.9468 A
Differenzspannung: 2.0550 V, Strom: 47.5853 A
Differenzspannung: 2.0590 V, Strom: 48.0888 A
Differenzspannung: 2.1186 V, Strom: 132.2127 A
Differenzspannung: 2.0840 V, Strom: 143.5426 A
Differenzspannung: 1.9994 V, Strom: 25.4292 A
Differenzspannung: 1.9986 V, Strom: 22.1561 A
