Rote LED NT2
Differenzspannung: 1.6609 V, Strom: 0.3206 A
Differenzspannung: 1.6488 V, Strom: 0.3453 A
Differenzspannung: 1.6778 V, Strom: 0.4193 A
Differenzspannung: 1.6537 V, Strom: 0.3617 A
Differenzspannung: 1.6794 V, Strom: 0.4439 A
Differenzspannung: 1.6770 V, Strom: 0.5262 A
Differenzspannung: 1.6988 V, Strom: 0.6248 A
Differenzspannung: 1.7052 V, Strom: 0.5755 A
Differenzspannung: 1.7060 V, Strom: 0.8961 A
Differenzspannung: 1.7173 V, Strom: 0.7810 A
Differenzspannung: 1.7310 V, Strom: 1.0688 A
Differenzspannung: 1.7246 V, Strom: 1.1674 A
Differenzspannung: 1.7496 V, Strom: 1.6525 A
Differenzspannung: 1.7488 V, Strom: 1.6525 A
Differenzspannung: 1.7689 V, Strom: 2.8122 A
Differenzspannung: 1.7777 V, Strom: 2.8122 A
Differenzspannung: 1.7874 V, Strom: 4.9502 A
Differenzspannung: 1.7971 V, Strom: 4.9420 A
Differenzspannung: 1.8221 V, Strom: 6.9484 A
Differenzspannung: 1.8148 V, Strom: 7.0389 A
Differenzspannung: 1.8228 V, Strom: 12.6473 A
Differenzspannung: 1.8349 V, Strom: 12.6390 A
Differenzspannung: 1.8487 V, Strom: 14.7190 A
Differenzspannung: 1.8261 V, Strom: 14.6368 A
Differenzspannung: 1.8212 V, Strom: 14.9333 A
Differenzspannung: 1.8349 V, Strom: 14.9497 A
