Rote LED v2
Differenzspannung: 1.6173 V, Strom: 0.2713 A
Differenzspannung: 1.6085 V, Strom: 0.3124 A
Differenzspannung: 1.6383 V, Strom: 0.3617 A
Differenzspannung: 1.6383 V, Strom: 0.3864 A
Differenzspannung: 1.6528 V, Strom: 0.5426 A
Differenzspannung: 1.6593 V, Strom: 0.5344 A
Differenzspannung: 1.6794 V, Strom: 0.7399 A
Differenzspannung: 1.6867 V, Strom: 0.7070 A
Differenzspannung: 1.7214 V, Strom: 1.5620 A
Differenzspannung: 1.7286 V, Strom: 1.4798 A
Differenzspannung: 1.7246 V, Strom: 1.5291 A
Differenzspannung: 1.7182 V, Strom: 1.6196 A
Differenzspannung: 1.7439 V, Strom: 1.5620 A
Differenzspannung: 1.7238 V, Strom: 1.7511 A
Differenzspannung: 1.7359 V, Strom: 1.9566 A
Differenzspannung: 1.7504 V, Strom: 1.7840 A
Differenzspannung: 1.7479 V, Strom: 2.4504 A
Differenzspannung: 1.7463 V, Strom: 2.4422 A
Differenzspannung: 1.7423 V, Strom: 3.2643 A
Differenzspannung: 1.7463 V, Strom: 3.2232 A
Differenzspannung: 1.7665 V, Strom: 4.0782 A
Differenzspannung: 1.7633 V, Strom: 4.0782 A
Differenzspannung: 1.7850 V, Strom: 5.5503 A
Differenzspannung: 1.7947 V, Strom: 5.6161 A
Differenzspannung: 1.7923 V, Strom: 6.9731 A
Differenzspannung: 1.7930 V, Strom: 6.9073 A
Differenzspannung: 1.7842 V, Strom: 9.0618 A
Differenzspannung: 1.8068 V, Strom: 8.9714 A
Differenzspannung: 1.8309 V, Strom: 14.1846 A
Differenzspannung: 1.8181 V, Strom: 14.5135 A
Differenzspannung: 1.8422 V, Strom: 14.6039 A
Differenzspannung: 1.8253 V, Strom: 14.4313 A
Differenzspannung: 1.8365 V, Strom: 14.9004 A
Differenzspannung: 1.8059 V, Strom: 15.2457 A
Differenzspannung: 1.8228 V, Strom: 15.0730 A
Differenzspannung: 1.8390 V, Strom: 14.9086 A
Differenzspannung: 1.8245 V, Strom: 15.0566 A
Differenzspannung: 1.8301 V, Strom: 14.9990 A
Differenzspannung: 1.8035 V, Strom: 15.2703 A
Differenzspannung: 1.8390 V, Strom: 14.9086 A
