Rote LED V2 NT1
Differenzspannung: 1.6004 V, Strom: 0.3288 A
Differenzspannung: 1.5948 V, Strom: 0.3042 A
Differenzspannung: 1.6141 V, Strom: 0.1891 A
Differenzspannung: 1.5972 V, Strom: 0.3124 A
Differenzspannung: 1.5924 V, Strom: 0.3288 A
Differenzspannung: 1.6036 V, Strom: 0.2549 A
Differenzspannung: 1.5988 V, Strom: 0.3453 A
Differenzspannung: 1.5980 V, Strom: 0.2960 A
Differenzspannung: 1.6036 V, Strom: 0.3453 A
Differenzspannung: 1.6109 V, Strom: 0.2466 A
Differenzspannung: 1.6278 V, Strom: 0.1726 A
Differenzspannung: 1.6036 V, Strom: 0.3371 A
Differenzspannung: 1.6222 V, Strom: 0.4275 A
Differenzspannung: 1.6295 V, Strom: 0.2631 A
Differenzspannung: 1.6528 V, Strom: 0.3042 A
Differenzspannung: 1.6287 V, Strom: 0.4439 A
Differenzspannung: 1.6496 V, Strom: 0.5919 A
Differenzspannung: 1.6545 V, Strom: 0.5673 A
Differenzspannung: 1.6827 V, Strom: 0.8714 A
Differenzspannung: 1.6851 V, Strom: 0.9290 A
Differenzspannung: 1.7222 V, Strom: 1.7100 A
Differenzspannung: 1.7238 V, Strom: 1.7018 A
Differenzspannung: 1.7527 V, Strom: 2.9190 A
Differenzspannung: 1.7536 V, Strom: 2.8779 A
Differenzspannung: 1.7737 V, Strom: 4.8680 A
Differenzspannung: 1.7826 V, Strom: 4.8680 A
Differenzspannung: 1.7979 V, Strom: 7.9761 A
Differenzspannung: 1.7874 V, Strom: 7.9843 A
Differenzspannung: 1.8334 V, Strom: 12.1370 A
Differenzspannung: 1.8237 V, Strom: 12.2110 A
Differenzspannung: 1.8091 V, Strom: 13.0008 A
Differenzspannung: 1.8350 V, Strom: 13.3132 A
Differenzspannung: 1.8454 V, Strom: 14.8428 A
Differenzspannung: 1.8462 V, Strom: 14.7853 A
Differenzspannung: 1.8067 V, Strom: 15.2375 A
Differenzspannung: 1.8293 V, Strom: 14.9990 A
