Weisse LED NT2
Differenzspannung: 2.5063 V, Strom: 4.5319 A
Differenzspannung: 2.4982 V, Strom: 4.5319 A
Differenzspannung: 2.5183 V, Strom: 4.7837 A
Differenzspannung: 2.5143 V, Strom: 4.5319 A
Differenzspannung: 2.5208 V, Strom: 5.0355 A
Differenzspannung: 2.5264 V, Strom: 4.5319 A
Differenzspannung: 2.5465 V, Strom: 4.5319 A
Differenzspannung: 2.5449 V, Strom: 4.7837 A
Differenzspannung: 2.5667 V, Strom: 4.5319 A
Differenzspannung: 2.5659 V, Strom: 4.7837 A
Differenzspannung: 2.6029 V, Strom: 4.7837 A
Differenzspannung: 2.6021 V, Strom: 4.2802 A
Differenzspannung: 2.6311 V, Strom: 4.5319 A
Differenzspannung: 2.6231 V, Strom: 6.0426 A
Differenzspannung: 2.6707 V, Strom: 5.0355 A
Differenzspannung: 2.7504 V, Strom: 6.7979 A
Differenzspannung: 2.7504 V, Strom: 6.7979 A
Differenzspannung: 2.9680 V, Strom: 15.3582 A
Differenzspannung: 2.9728 V, Strom: 15.3582 A
Differenzspannung: 3.0365 V, Strom: 20.1419 A
Differenzspannung: 3.0333 V, Strom: 19.1348 A
Differenzspannung: 3.1018 V, Strom: 24.1703 A
Differenzspannung: 3.0937 V, Strom: 23.4150 A
Differenzspannung: 3.1171 V, Strom: 24.6738 A
Differenzspannung: 3.0954 V, Strom: 25.1774 A
Differenzspannung: 3.1268 V, Strom: 22.6596 A
Differenzspannung: 3.1042 V, Strom: 26.1845 A
