Gelbe LED V2
Differenzspannung: 2.4990 V, Strom: 4.7837 A
Differenzspannung: 2.4813 V, Strom: 6.7979 A
Differenzspannung: 2.4942 V, Strom: 3.7766 A
Differenzspannung: 2.4918 V, Strom: 4.5319 A
Differenzspannung: 2.4942 V, Strom: 4.7837 A
Differenzspannung: 2.4773 V, Strom: 7.0497 A
Differenzspannung: 2.4909 V, Strom: 4.5319 A
Differenzspannung: 2.5095 V, Strom: 4.5319 A
Differenzspannung: 2.5103 V, Strom: 3.2731 A
Differenzspannung: 2.5216 V, Strom: 3.0213 A
Differenzspannung: 2.5159 V, Strom: 4.5319 A
Differenzspannung: 2.5272 V, Strom: 2.7695 A
Differenzspannung: 2.5224 V, Strom: 4.2802 A
Differenzspannung: 2.5304 V, Strom: 5.0355 A
Differenzspannung: 2.5353 V, Strom: 4.2802 A
Differenzspannung: 2.5457 V, Strom: 2.7695 A
Differenzspannung: 2.5457 V, Strom: 4.2802 A
Differenzspannung: 2.5602 V, Strom: 4.5319 A
Differenzspannung: 2.5562 V, Strom: 3.5248 A
Differenzspannung: 2.6054 V, Strom: 4.7837 A
Differenzspannung: 2.6078 V, Strom: 4.5319 A
Differenzspannung: 2.6956 V, Strom: 5.2873 A
Differenzspannung: 2.6940 V, Strom: 5.5390 A
Differenzspannung: 2.9326 V, Strom: 14.0993 A
Differenzspannung: 2.9350 V, Strom: 13.5958 A
Differenzspannung: 3.0752 V, Strom: 22.1561 A
Differenzspannung: 3.0776 V, Strom: 22.6596 A
Differenzspannung: 3.0147 V, Strom: 19.8901 A
Differenzspannung: 3.0349 V, Strom: 19.8901 A
Differenzspannung: 3.0873 V, Strom: 23.4150 A
Differenzspannung: 3.1026 V, Strom: 21.6526 A
Differenzspannung: 3.0994 V, Strom: 27.6951 A
Differenzspannung: 3.1123 V, Strom: 24.6738 A
